SALETYPE,SOLDDATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,URL,LATITUDE,LONGITUDE
PAST SALE,April-22-2020,Single Family Residential,10041 30th Ave SW,Seattle,WA,98146,875000,4,2.5,2690,6520,2019,28,325,,http://www.redfin.com/WA/Seattle/10041-30th-Ave-SW-98146/home/8189677,47.512552,-122.3713787
PAST SALE,July-1-2019,Single Family Residential,2002 E Jefferson,Seattle,WA,98122,1225000,4,2.25,2481,3600,2014,324,494,,http://www.redfin.com/WA/Seattle/2002-E-Jefferson-St-98122/home/22528749,47.6063023,-122.30594
PAST SALE,January-3-2020,Single Family Residential,10960 4th Pl SW,Seattle,WA,98146,640000,4,2.5,2450,3863,2015,138,261,80,http://www.redfin.com/WA/Seattle/10960-4th-Pl-SW-98146/home/55551038,47.5051867,-122.3395296
PAST SALE,November-4-2019,Single Family Residential,2122 N 59th St,Seattle,WA,98103,1175000,4,3,2740,4058,1997,198,429,,http://www.redfin.com/WA/Seattle/2122-N-59th-St-98103/home/305557,47.6718396,-122.3325228
PAST SALE,December-2-2019,Single Family Residential,1550 N 128th St,Seattle,WA,98133,725000,4,2.5,2030,6500,1992,170,357,,http://www.redfin.com/WA/Seattle/1550-N-128th-St-98133/home/103415,47.722241,-122.3372697
PAST SALE,July-9-2019,Single Family Residential,4627 45th Ave S,Seattle,WA,98118,753000,4,2.5,1820,7200,1985,316,414,,http://www.redfin.com/WA/Seattle/4627-45th-Ave-S-98118/home/493018,47.5609426,-122.2773264
PAST SALE,July-19-2019,Single Family Residential,4928 SW Forney St,Seattle,WA,98116,890000,4,2.5,2620,7250,2004,306,340,,http://www.redfin.com/WA/Seattle/4928-SW-Forney-St-98116/home/2079172,47.5751425,-122.3958947
PAST SALE,August-8-2019,Single Family Residential,7755 14th Ave SW,Seattle,WA,98106,630000,4,3.25,2380,4000,1991,286,265,,http://www.redfin.com/WA/Seattle/7755-14th-Ave-SW-98106/home/474312,47.5324323,-122.3531665
PAST SALE,May-29-2019,Single Family Residential,5326 28th Ave S,Seattle,WA,98108,660000,4,2.5,2010,3390,2010,357,328,,http://www.redfin.com/WA/Seattle/5326-28th-Ave-S-98108/home/22686862,47.5538957,-122.2965702
PAST SALE,July-19-2019,Single Family Residential,3020 SW Holly St,Seattle,WA,98126,650000,4,2.25,1850,2351,2014,306,351,92,http://www.redfin.com/WA/Seattle/3020-SW-Holly-St-98126/home/18661588,47.543026,-122.3716383
PAST SALE,April-20-2020,Single Family Residential,8844 38th Ave S,Seattle,WA,98118,669000,5,3.5,2540,4000,2011,30,263,,http://www.redfin.com/WA/Seattle/8844-38th-Ave-S-98118/home/480697,47.5229282,-122.2845665
PAST SALE,January-3-2020,Single Family Residential,4157 46th Ave SW,Seattle,WA,98116,1140000,4,3.5,2740,3363,2015,138,416,,http://www.redfin.com/WA/Seattle/4157-46th-Ave-SW-98116/home/22427094,47.5649237,-122.3911082
PAST SALE,August-28-2019,Single Family Residential,5905 19th Ave S,Seattle,WA,98108,785000,4,2.75,2510,3360,2016,266,313,,http://www.redfin.com/WA/Seattle/5905-19th-Ave-S-98108/unit-5/home/482171,47.5497306,-122.3089496
PAST SALE,January-28-2020,Single Family Residential,6612 High Point Dr SW,Seattle,WA,98126,665000,4,2.5,1900,4030,2014,113,350,107,http://www.redfin.com/WA/Seattle/6612-High-Point-Dr-SW-98126/home/18662058,47.54291019,-122.3671551
PAST SALE,November-6-2019,Single Family Residential,1414 N 85th St,Seattle,WA,98103,865000,4,3.25,2249,4621,2011,196,385,,http://www.redfin.com/WA/Seattle/1414-N-85th-St-98103/home/22238286,47.6907504,-122.3395712
PAST SALE,October-29-2019,Single Family Residential,3016 21st Ave W,Seattle,WA,98199,869000,4,2.5,1890,1475,2015,204,460,,http://www.redfin.com/WA/Seattle/3016-21st-Ave-W-98199/home/123310,47.6471412,-122.3829815
PAST SALE,September-27-2019,Single Family Residential,8115 5th Ave SW,Seattle,WA,98106,685000,5,2.5,2550,7650,1996,236,269,,http://www.redfin.com/WA/Seattle/8115-5th-Ave-SW-98106/home/474453,47.5295835,-122.3419967
PAST SALE,July-25-2019,Single Family Residential,608 N 138th St,Seattle,WA,98133,856000,4,2.5,2610,8840,2015,300,328,,http://www.redfin.com/WA/Seattle/608-N-138th-St-98133/home/59702680,47.7302365,-122.3515236
PAST SALE,September-4-2019,Single Family Residential,7114 28th Ave NW,Seattle,WA,98117,985000,4,2.25,2180,5250,1990,259,452,,http://www.redfin.com/WA/Seattle/7114-28th-Ave-NW-98117/home/167157,47.6807854,-122.3926768
PAST SALE,July-2-2019,Single Family Residential,613 N 138th St,Seattle,WA,98133,800000,5,3,2140,10400,1995,323,374,,http://www.redfin.com/WA/Seattle/613-N-138th-St-98133/home/102220,47.7293476,-122.3512093
PAST SALE,June-14-2019,Single Family Residential,512 N 101st St,Seattle,WA,98133,1000000,4,2.5,2220,3844,2014,341,450,,http://www.redfin.com/WA/Seattle/512-N-101st-St-98133/home/55551287,47.702378,-122.3522372
PAST SALE,December-27-2019,Single Family Residential,2710 NE 105th St,Seattle,WA,98125,699950,4,2.5,2060,7632,1993,145,340,,http://www.redfin.com/WA/Seattle/2710-NE-105th-St-98125/home/112327,47.704922,-122.2983172
